,Zip Code,Total ,Male ,Male Under 5 years,Male 5 to 9 years,Male 10 to 14 years,Male 15 to 17 years,Male 18 and 19 years,Male 20 years,Male 21 years,Male 22 to 24 years,Male 25 to 29 years,Male 30 to 34 years,Male 35 to 39 years,Male 40 to 44 years,Male 45 to 49 years,Male 50 to 54 years,Male 55 to 59 years,Male 60 and 61 years,Male 62 to 64 years,Male 65 and 66 years,Male 67 to 69 years,Male 70 to 74 years,Male 75 to 79 years,Male 80 to 84 years,Male 85 years and over,Female ,Female Under 5 years,Female 5 to 9 years,Female 10 to 14 years,Female 15 to 17 years,Female 18 and 19 years,Female 20 years,Female 21 years,Female 22 to 24 years,Female 25 to 29 years,Female 30 to 34 years,Female 35 to 39 years,Female 40 to 44 years,Female 45 to 49 years,Female 50 to 54 years,Female 55 to 59 years,Female 60 and 61 years,Female 62 to 64 years,Female 65 and 66 years,Female 67 to 69 years,Female 70 to 74 years,Female 75 to 79 years,Female 80 to 84 years,Female 85 years and over
70,78732,"18,535","8,904",511,568,"1,081",899,57,75,72,36,64,526,666,805,"1,143",744,591,193,115,75,220,81,191,69,122,"9,631",737,529,"1,120",678,74,270,0,889,121,383,535,748,"1,253","1,165",165,170,190,31,120,172,95,80,106
72,78733,"8,711","4,481",373,422,535,347,107,8,0,45,75,86,216,255,588,297,363,67,92,88,143,209,134,31,0,"4,230",85,434,464,215,51,22,0,12,100,42,230,628,387,318,356,125,132,120,142,282,19,0,66
74,78734,"19,711","9,868",340,595,950,273,188,50,0,152,372,468,534,588,789,866,"1,058",249,553,158,394,648,332,132,179,"9,843",387,762,459,506,51,24,69,93,399,377,602,845,862,893,736,392,468,241,518,591,251,179,138
76,78735,"18,211","8,614",547,805,472,383,104,81,19,303,778,734,640,504,668,561,476,91,257,219,253,372,186,59,102,"9,597",666,743,368,244,178,4,19,261,676,"1,033",905,488,662,522,455,192,558,164,346,380,173,294,266
78,78736,"10,010","4,925",212,257,444,90,77,0,121,75,385,404,243,454,232,703,368,183,169,41,140,143,42,54,88,"5,085",196,182,325,125,185,0,234,200,450,181,287,450,223,527,328,243,183,141,141,216,81,108,79
80,78737,"20,609","10,689",698,"1,244","1,144",418,332,162,22,72,224,432,866,"1,153","1,224",658,469,182,213,109,248,336,281,50,152,"9,920",602,"1,534",822,654,2,32,51,125,110,361,"1,035",929,769,532,512,169,379,148,241,419,219,78,197
82,78738,"15,090","7,592",326,526,799,369,76,5,21,100,213,507,628,646,469,534,509,160,351,138,463,402,140,106,104,"7,498",236,389,567,330,81,50,9,113,279,551,598,493,555,701,513,224,367,179,447,346,217,123,130
84,78739,"20,631","10,702",959,"1,222",845,483,107,118,58,143,205,573,747,"1,293",961,918,451,247,334,103,260,412,139,72,52,"9,929",648,"1,036",705,459,39,11,22,52,381,630,970,"1,068",912,807,601,196,406,79,207,221,116,130,233
86,78741,"47,529","25,906",907,"1,004",911,526,685,704,561,"2,669","5,458","3,850","2,384","1,339","1,270",906,922,240,577,189,323,271,75,65,70,"21,623","1,644","1,124",902,498,454,605,863,"1,915","3,755","2,616","1,524","1,133","1,179",707,862,241,414,182,244,243,197,97,224
88,78742,888,340,15,19,19,14,13,0,0,16,6,37,0,27,27,4,57,17,14,0,27,10,6,12,0,548,53,55,32,67,3,0,0,31,90,5,19,21,45,21,4,5,22,6,8,0,18,15,28
