,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
49,78748,"10,875","1,110","6,568",862,"2,041","1,883","1,782","2,195","1,002","3,197","1,406","1,791","1,853","1,110","3,002","2,829","2,247","2,145","1,695","1,431",666,478,"2,485",789,"11,421","1,321","26,332",772,"3,151","1,140","1,664",607,"1,487",533
50,78749,"8,598",757,"5,950",304,"1,980","2,175","1,491","1,435",456,"1,891",745,"1,146","1,006",529,"2,318","2,198","2,663","2,634","1,072","1,066",526,348,"1,488",547,"5,852",716,"22,697",560,"2,014",599,"1,079",241,935,358
51,78750,"8,063",738,"6,061",198,"2,184","1,993","1,686",792,472,"1,264",758,506,963,657,"2,245","2,094","2,679","2,679","1,225","1,213",379,284,"1,265",383,"5,481",400,"18,689",353,"1,644",517,799,210,845,307
52,78751,"4,836",41,661,5,169,258,229,"1,666","2,468","4,134","2,078","2,056",66,27,153,131,322,322,188,188,178,152,"2,437","1,653","7,062","2,121","5,415",242,"2,615","1,786","1,275",882,"1,340",904
53,78752,"4,307",422,"2,331",213,579,761,778,"1,017",537,"1,554",583,971,683,348,730,692,931,931,738,645,412,249,"1,849",338,"5,538",889,"9,023",215,"2,261",453,"1,042",147,"1,219",306
54,78753,"14,478",940,"10,663",602,"3,773","3,648","2,640","2,048",827,"2,875","1,538","1,337","2,023",669,"4,344","4,085","4,440","4,325","1,859","1,770","1,318",901,"3,516",900,"13,874","1,146","26,223",682,"4,834","1,082","2,757",559,"2,077",523
55,78754,"6,431",662,"4,191",447,"1,498","1,043","1,203","1,076",502,"1,578",754,824,891,436,"2,062","2,022","1,518","1,442",863,850,377,170,"1,660",568,"5,302",710,"12,248",233,"2,037",637,923,345,"1,114",292
56,78756,"1,890",59,827,77,282,246,222,717,287,"1,004",483,521,100,79,327,319,334,305,139,139,417,397,497,309,"2,921",233,"4,535",109,914,662,481,359,433,303
57,78757,"5,867",557,"4,096",381,"1,189","1,261","1,265",643,571,"1,214",469,745,737,495,"1,397","1,266","1,897","1,753","1,045","1,045",208,106,854,213,"5,149",569,"14,272",420,"1,062",248,583,100,479,148
58,78758,"11,237",622,"7,000",397,"2,233","2,527","1,843","2,709",906,"3,615","1,698","1,917","1,282",443,"2,698","2,661","2,826","2,798","1,279","1,279","1,040",697,"3,246",948,"13,801","1,518","21,462",893,"4,286","1,305","2,168",704,"2,118",601
59,78759,"8,580",638,"5,498",333,"1,671","1,793","1,701","1,634",810,"2,444","1,251","1,193","1,038",496,"2,197","1,973","2,188","2,175","1,191","1,191",694,588,"2,214",689,"9,382",804,"25,395",664,"2,908",976,"1,689",480,"1,219",496
60,"Travis County, Texas","311,505","21,523","190,116","13,885","59,342","62,348","54,541","75,436","24,430","99,866","47,776","52,090","31,918","17,053","73,115","69,618","77,183","75,454","42,625","40,754","32,236","26,282","82,079","38,019","251,805","27,743","614,121","16,582","114,315","56,589","57,544","27,151","56,771","29,438"
