,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
10,78652,313,35,254,51,136,135,104,71,61,94,56,66,85,35,162,140,166,141,98,97,20,20,97,41,237,82,668,16,97,41,64,41,68,20
11,78653,"1,165",280,"1,102",580,503,412,560,280,127,348,161,270,335,247,914,891,430,430,527,509,182,166,411,233,"1,057",139,"1,504",168,462,244,327,122,301,170
12,78654,616,76,368,72,197,245,252,334,56,345,184,297,210,76,210,209,243,242,158,157,235,107,260,179,290,75,611,283,332,181,246,181,206,99
13,78660,"3,443",462,"3,217",356,880,"2,333",982,988,359,"1,034",564,649,629,427,887,856,"2,363","2,365",992,988,587,372,886,483,"1,757",293,"2,298",476,"1,123",708,691,426,696,382
14,78663,101,14,101,93,10,7,37,14,14,14,14,14,14,14,92,92,7,7,27,6,36,36,27,14,21,14,215,14,48,14,35,14,33,14
15,78664,"1,309",333,"1,030",299,467,547,733,610,462,771,381,602,355,313,589,544,572,562,495,471,364,312,591,389,"1,028",506,"1,684",292,681,421,545,271,433,290
16,78669,413,101,417,100,210,275,159,144,130,189,156,109,169,116,225,225,300,300,148,149,110,106,120,95,409,102,789,125,158,112,124,64,116,99
17,78701,300,18,107,100,22,33,32,196,172,267,218,160,100,100,32,18,45,45,17,22,96,94,270,166,886,179,"1,349",78,290,194,243,160,183,153
18,78702,949,169,583,111,227,312,256,466,466,704,358,440,179,90,270,261,291,291,265,241,202,202,382,320,888,485,"1,315",212,502,449,253,228,374,349
19,78703,588,136,357,80,179,214,227,276,230,369,318,181,146,108,180,180,226,227,202,202,222,222,211,109,764,227,955,156,313,252,260,223,134,65
20,78704,939,169,631,326,342,341,289,492,153,492,286,472,232,148,538,488,337,324,268,265,295,278,845,418,"1,248",205,"1,542",160,858,434,375,214,686,422
21,78705,"1,656",47,169,12,53,79,161,"1,614",384,"1,637",989,"1,221",8,6,83,82,83,82,132,132,919,917,"1,122","1,038",672,310,443,82,"1,669","1,608","1,062",986,"1,177","1,153"
22,78712,331,14,14,14,14,14,14,314,26,331,190,268,14,14,14,14,14,14,26,26,228,228,142,142,26,26,14,14,306,306,169,169,236,236
23,78719,139,35,126,14,56,36,77,34,14,34,12,33,111,14,77,77,50,50,55,55,35,27,72,14,128,14,229,33,85,12,58,12,42,14
24,78721,516,153,432,42,205,200,164,126,166,199,152,108,148,148,205,205,228,228,134,106,140,94,230,169,389,68,473,88,261,181,184,148,131,62
