,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
10,78652,(X),25,134,39,38,75,21,5,3,5,5,3,(X),25,(X),54,(X),85,(X),21,(X),20,(X),5,(X),20,(X),3,(X),5,(X),5,(X),20
11,78653,(X),153,224,26,96,163,49,121,45,132,40,120,(X),152,(X),101,(X),163,(X),49,(X),26,(X),66,(X),85,(X),74,(X),66,(X),26,(X),66
12,78654,(X),22,171,53,55,76,54,67,28,71,22,71,(X),22,(X),74,(X),84,(X),50,(X),34,(X),22,(X),58,(X),29,(X),34,(X),22,(X),34
13,78660,(X),329,399,38,178,310,240,311,194,379,147,346,(X),269,(X),240,(X),327,(X),94,(X),94,(X),117,(X),135,(X),337,(X),133,(X),57,(X),136
14,78663,(X),14,91,91,14,14,14,14,14,14,14,14,(X),14,(X),91,(X),14,(X),14,(X),14,(X),14,(X),14,(X),14,(X),14,(X),14,(X),14
15,78664,(X),220,354,78,51,220,174,203,404,456,163,425,(X),218,(X),97,(X),224,(X),144,(X),73,(X),124,(X),417,(X),156,(X),136,(X),101,(X),83
16,78669,(X),91,140,97,38,81,41,50,130,140,122,85,(X),106,(X),81,(X),78,(X),56,(X),45,(X),86,(X),22,(X),118,(X),96,(X),48,(X),85
17,78701,(X),22,103,100,22,24,22,60,72,93,67,63,(X),100,(X),22,(X),24,(X),22,(X),22,(X),58,(X),74,(X),7,(X),58,(X),25,(X),52
18,78702,(X),19,266,58,81,116,165,164,124,220,178,144,(X),19,(X),118,(X),120,(X),165,(X),126,(X),155,(X),67,(X),44,(X),200,(X),178,(X),110
19,78703,(X),133,272,82,113,170,84,48,68,77,69,36,(X),107,(X),142,(X),185,(X),55,(X),39,(X),40,(X),34,(X),55,(X),46,(X),45,(X),11
20,78704,(X),114,280,39,252,102,79,196,77,215,128,147,(X),101,(X),259,(X),118,(X),61,(X),93,(X),152,(X),98,(X),67,(X),177,(X),106,(X),110
21,78705,(X),21,77,30,13,31,56,612,144,626,299,444,(X),6,(X),24,(X),31,(X),56,(X),348,(X),344,(X),87,(X),57,(X),592,(X),290,(X),430
22,78712,(X),14,14,14,14,14,14,94,18,89,62,92,(X),14,(X),14,(X),14,(X),17,(X),76,(X),31,(X),18,(X),14,(X),83,(X),56,(X),84
23,78719,(X),14,14,14,14,14,14,12,14,12,12,14,(X),14,(X),14,(X),14,(X),14,(X),12,(X),14,(X),14,(X),14,(X),12,(X),12,(X),14
24,78721,(X),49,195,22,110,103,22,24,29,36,22,36,(X),49,(X),110,(X),103,(X),22,(X),22,(X),10,(X),29,(X),22,(X),10,(X),22,(X),10
25,78722,(X),30,47,14,21,20,20,27,34,45,23,37,(X),30,(X),33,(X),20,(X),20,(X),20,(X),27,(X),34,(X),4,(X),27,(X),23,(X),14
26,78723,(X),176,193,55,121,57,64,98,46,113,91,56,(X),163,(X),178,(X),66,(X),51,(X),6,(X),56,(X),52,(X),85,(X),51,(X),51,(X),30
27,78724,(X),291,305,82,154,45,82,162,26,162,25,158,(X),292,(X),223,(X),50,(X),44,(X),64,(X),167,(X),28,(X),19,(X),159,(X),21,(X),154
28,78725,(X),22,44,20,20,44,20,39,20,39,39,20,(X),22,(X),20,(X),44,(X),20,(X),20,(X),20,(X),34,(X),20,(X),20,(X),20,(X),20
29,78726,(X),83,58,22,46,38,22,220,78,220,131,156,(X),77,(X),48,(X),38,(X),18,(X),163,(X),36,(X),115,(X),49,(X),186,(X),73,(X),133
30,78727,(X),96,179,27,83,72,92,106,49,110,78,89,(X),76,(X),100,(X),87,(X),58,(X),29,(X),56,(X),62,(X),88,(X),44,(X),19,(X),39
31,78728,(X),106,616,7,47,102,606,470,83,506,33,508,(X),65,(X),78,(X),315,(X),318,(X),26,(X),26,(X),90,(X),470,(X),26,(X),26,(X),26
32,78729,(X),120,211,75,88,89,77,90,151,189,150,107,(X),91,(X),150,(X),100,(X),60,(X),57,(X),90,(X),125,(X),61,(X),85,(X),76,(X),57
33,78730,(X),130,177,123,85,45,92,43,22,43,43,22,(X),91,(X),218,(X),84,(X),63,(X),58,(X),36,(X),22,(X),21,(X),36,(X),36,(X),22
34,78731,(X),121,312,41,235,149,100,46,137,141,123,65,(X),105,(X),250,(X),166,(X),84,(X),28,(X),40,(X),132,(X),43,(X),42,(X),34,(X),19
35,78732,(X),217,159,12,138,57,53,117,22,117,116,17,(X),212,(X),77,(X),91,(X),53,(X),17,(X),69,(X),22,(X),101,(X),71,(X),69,(X),17
