,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
38,78735,(X),170,589,166,341,156,253,135,59,150,98,101,(X),94,(X),396,(X),220,(X),199,(X),123,(X),89,(X),76,(X),66,(X),113,(X),72,(X),76
39,78736,(X),51,453,44,135,286,241,321,22,321,166,288,(X),23,(X),171,(X),289,(X),85,(X),211,(X),296,(X),125,(X),51,(X),305,(X),108,(X),292
40,78737,(X),121,867,137,695,272,266,246,139,265,193,172,(X),101,(X),703,(X),305,(X),262,(X),150,(X),139,(X),127,(X),128,(X),212,(X),139,(X),139
41,78738,(X),94,375,56,221,269,158,133,25,137,99,85,(X),30,(X),183,(X),271,(X),152,(X),79,(X),43,(X),89,(X),69,(X),70,(X),23,(X),68
42,78739,(X),148,605,121,361,267,294,204,126,224,167,159,(X),134,(X),369,(X),351,(X),223,(X),80,(X),146,(X),79,(X),141,(X),157,(X),150,(X),44
43,78741,(X),192,647,168,381,394,311,825,329,820,712,564,(X),171,(X),363,(X),393,(X),263,(X),249,(X),610,(X),367,(X),182,(X),697,(X),577,(X),475
44,78742,(X),20,110,14,55,37,80,6,14,6,14,6,(X),14,(X),63,(X),37,(X),79,(X),5,(X),14,(X),14,(X),23,(X),14,(X),14,(X),14
45,78744,(X),247,"1,470",530,571,"1,054",551,234,159,268,190,198,(X),262,(X),774,(X),"1,104",(X),482,(X),197,(X),146,(X),194,(X),157,(X),154,(X),143,(X),110
46,78745,(X),496,640,223,313,447,309,564,242,608,479,331,(X),488,(X),427,(X),478,(X),236,(X),153,(X),457,(X),332,(X),327,(X),475,(X),424,(X),240
47,78746,(X),39,478,101,182,284,294,208,111,255,177,167,(X),38,(X),203,(X),318,(X),273,(X),146,(X),115,(X),98,(X),108,(X),178,(X),85,(X),140
48,78747,(X),66,585,131,329,252,281,251,62,257,201,156,(X),63,(X),337,(X),253,(X),251,(X),140,(X),112,(X),163,(X),109,(X),136,(X),119,(X),70
49,78748,(X),475,920,384,420,388,474,459,505,691,374,596,(X),485,(X),587,(X),467,(X),342,(X),211,(X),241,(X),538,(X),244,(X),322,(X),221,(X),205
50,78749,(X),155,773,158,389,540,410,358,148,413,290,278,(X),150,(X),364,(X),526,(X),318,(X),160,(X),186,(X),321,(X),209,(X),174,(X),98,(X),148
51,78750,(X),237,"1,123",66,690,457,353,219,251,332,301,164,(X),234,(X),437,(X),787,(X),242,(X),118,(X),149,(X),175,(X),253,(X),163,(X),101,(X),131
52,78751,(X),22,172,8,108,100,91,357,572,740,515,395,(X),22,(X),77,(X),118,(X),84,(X),86,(X),509,(X),527,(X),98,(X),523,(X),352,(X),296
53,78752,(X),149,462,132,218,275,220,278,236,420,161,354,(X),125,(X),236,(X),310,(X),180,(X),129,(X),168,(X),346,(X),89,(X),191,(X),81,(X),170
54,78753,(X),265,"1,194",203,528,714,426,405,309,484,332,341,(X),234,(X),593,(X),768,(X),413,(X),271,(X),260,(X),319,(X),174,(X),277,(X),201,(X),187
55,78754,(X),204,845,170,418,286,482,321,153,354,295,234,(X),163,(X),507,(X),445,(X),279,(X),93,(X),295,(X),192,(X),105,(X),295,(X),275,(X),179
56,78756,(X),20,134,42,49,57,82,118,94,157,101,125,(X),20,(X),67,(X),68,(X),46,(X),103,(X),98,(X),102,(X),41,(X),120,(X),91,(X),88
57,78757,(X),112,"1,018",158,354,523,471,274,231,400,186,298,(X),116,(X),223,(X),801,(X),411,(X),87,(X),107,(X),311,(X),151,(X),138,(X),58,(X),115
58,78758,(X),158,"1,359",225,560,645,508,464,348,620,448,470,(X),118,(X),675,(X),657,(X),441,(X),333,(X),460,(X),378,(X),215,(X),453,(X),331,(X),337
59,78759,(X),71,481,127,279,247,262,383,196,407,292,263,(X),37,(X),319,(X),296,(X),186,(X),209,(X),317,(X),223,(X),185,(X),351,(X),225,(X),233
60,"Travis County, Texas",(X),"1,203","1,906","1,098","1,753","2,361","1,207","2,483","1,446","2,939","1,792","1,898",(X),"1,073",(X),"1,977",(X),"2,098",(X),639,(X),775,(X),"1,701",(X),"1,536",(X),"1,076",(X),"1,942",(X),"1,144",(X),"1,360"
