,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
40,78737,"1,002",,261,598,198,251,143,80,154,332,173,185,135,180,197,98,143,77,53,118,,634,250,687,143,494,575,538,537,253,252,178,128,,3.2,(X),(X),(X),(X),,(X),(X)
41,78738,514,,119,125,148,136,93,145,189,185,134,147,205,155,244,243,97,110,60,64,,195,113,260,126,314,472,458,426,344,325,257,133,,2.6,(X),(X),(X),(X),,(X),(X)
42,78739,829,,208,218,290,176,63,151,182,290,232,283,204,169,227,102,88,60,58,96,,367,166,464,84,397,558,526,514,259,269,174,123,,1.3,(X),(X),(X),(X),,(X),(X)
43,78741,"1,368",,434,313,262,243,559,558,401,308,424,358,208,285,264,204,153,76,63,164,,420,172,600,647,968,"1,225","1,234","1,182",434,414,365,193,,0.9,(X),(X),(X),(X),,(X),(X)
44,78742,271,,53,63,35,77,32,81,7,30,27,62,17,6,21,17,14,14,18,33,,79,78,159,33,143,145,133,133,49,48,41,40,,5.3,(X),(X),(X),(X),,(X),(X)
45,78744,"1,865",,429,679,496,517,289,426,419,507,429,358,302,275,172,165,116,400,88,95,,849,433,"1,076",358,"1,015","1,185","1,089","1,104",452,465,477,417,,1.3,(X),(X),(X),(X),,(X),(X)
46,78745,"1,909",,582,341,313,267,453,636,516,363,446,354,262,515,251,340,431,186,123,138,,428,200,773,498,"1,033","1,506","1,476","1,445",636,622,594,238,,1.2,(X),(X),(X),(X),,(X),(X)
47,78746,618,,152,135,218,331,142,190,192,158,160,228,207,223,194,138,136,114,79,75,,255,224,342,225,445,548,503,459,266,214,191,136,,1.5,(X),(X),(X),(X),,(X),(X)
48,78747,731,,241,272,174,231,151,313,218,214,242,369,191,226,202,212,136,65,63,83,,256,182,440,217,395,617,589,567,294,279,232,107,,2.3,(X),(X),(X),(X),,(X),(X)
49,78748,"1,731",,603,316,365,299,339,663,728,569,369,424,347,427,240,225,200,140,56,130,,504,254,842,381,"1,163","1,358","1,306","1,307",432,384,352,202,,1.2,(X),(X),(X),(X),,(X),(X)
50,78749,"1,320",,262,288,519,247,197,404,326,384,339,436,456,461,484,348,256,111,70,151,,588,207,642,226,569,"1,096","1,093","1,095",638,647,454,196,,2.2,(X),(X),(X),(X),,(X),(X)
51,78750,"1,346",,412,349,385,201,198,337,322,351,359,253,284,407,206,218,132,143,129,91,,483,186,890,232,771,936,931,912,311,291,281,162,,2.5,(X),(X),(X),(X),,(X),(X)
52,78751,764,,99,49,71,84,331,408,369,137,106,134,151,95,86,43,103,50,22,38,,89,63,145,356,650,733,731,721,161,161,136,65,,1.3,(X),(X),(X),(X),,(X),(X)
53,78752,"1,182",,211,129,234,163,354,364,327,278,234,240,353,132,99,166,169,164,152,51,,257,124,426,367,765,"1,054","1,014",997,317,315,289,219,,1.5,(X),(X),(X),(X),,(X),(X)
54,78753,"1,717",,433,440,536,392,322,485,727,440,465,426,339,343,500,308,180,209,88,103,,744,335,936,409,"1,022","1,233","1,247","1,174",620,563,369,245,,0.9,(X),(X),(X),(X),,(X),(X)
55,78754,"1,329",,408,293,238,328,314,461,280,315,396,236,223,217,224,300,150,188,46,303,,429,297,684,312,794,"1,057",966,981,562,525,479,336,,2.7,(X),(X),(X),(X),,(X),(X)
56,78756,652,,58,118,83,96,120,479,241,113,108,79,99,135,130,58,40,84,27,105,,171,47,186,140,606,595,586,576,213,146,134,141,,2.2,(X),(X),(X),(X),,(X),(X)
57,78757,"1,614",,171,207,486,404,146,313,355,229,238,287,417,186,370,287,120,115,143,450,,503,388,640,184,766,"1,170","1,156","1,147",769,738,687,475,,3.0,(X),(X),(X),(X),,(X),(X)
58,78758,"2,060",,571,580,445,359,462,592,538,486,446,250,475,280,275,224,196,107,74,145,,822,189,"1,137",531,"1,079","1,356","1,330","1,299",488,435,398,211,,1.2,(X),(X),(X),(X),,(X),(X)
59,78759,"1,097",,319,284,226,160,286,406,531,427,284,323,304,271,229,239,245,185,112,220,,400,133,583,293,772,956,931,922,494,484,415,286,,1.2,(X),(X),(X),(X),,(X),(X)
60,"Travis County, Texas",92,,85,"1,394","1,394",89,66,64,55,"1,718","1,702",93,46,"1,176","1,173",895,894,686,483,690,,58,79,85,46,158,551,33,720,"1,171","1,054",17,2,,0.1,(X),(X),(X),(X),,(X),(X)
