,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
10,        Margin of Error,585,,148,78,115,92,64,76,134,276,90,75,93,180,91,141,103,83,21,23,,144,92,271,64,348,498,493,488,223,220,211,88,,9.1,(X),(X),(X),(X),,(X),(X)
11,        Margin of Error,"1,497",,392,553,290,502,251,235,464,882,258,421,200,262,187,141,116,59,26,21,,625,465,830,327,979,"1,156","1,119","1,111",285,265,198,64,,2.0,(X),(X),(X),(X),,(X),(X)
12,        Margin of Error,521,,180,150,203,209,220,157,139,298,186,158,113,192,168,168,175,177,137,72,,252,111,328,246,355,495,469,427,338,328,302,231,,4.9,(X),(X),(X),(X),,(X),(X)
13,        Margin of Error,"2,559",,704,524,"1,271",881,541,775,677,799,505,918,960,566,451,370,303,228,142,70,,"1,364",794,"1,574",691,"1,538","1,791","1,561","1,510",697,583,502,234,,1.4,(X),(X),(X),(X),,(X),(X)
14,        Margin of Error,194,,14,93,7,16,27,5,14,7,17,71,63,74,21,3,59,3,15,14,,93,6,93,35,47,136,136,132,56,61,61,16,,6.5,(X),(X),(X),(X),,(X),(X)
15,        Margin of Error,"1,505",,374,389,371,473,472,630,526,751,419,363,422,439,357,183,257,209,186,79,,527,399,800,545,"1,155","1,348","1,319","1,247",576,558,471,284,,1.8,(X),(X),(X),(X),,(X),(X)
16,        Margin of Error,634,,123,168,182,156,65,120,170,164,190,182,158,243,144,148,147,102,82,44,,264,109,279,124,320,522,509,501,221,203,193,132,,3.0,(X),(X),(X),(X),,(X),(X)
17,        Margin of Error,947,,91,22,36,31,243,352,396,371,470,211,465,240,299,163,101,84,56,7,,36,17,96,243,792,949,947,923,321,197,185,81,,5.0,(X),(X),(X),(X),,(X),(X)
18,        Margin of Error,"1,150",,265,175,259,155,223,394,537,244,431,169,194,277,139,166,75,81,84,65,,347,86,437,253,770,961,957,942,228,231,188,110,,1.5,(X),(X),(X),(X),,(X),(X)
19,        Margin of Error,886,,127,120,173,228,159,367,281,183,435,180,109,226,300,167,156,90,87,46,,190,82,226,260,713,811,796,742,380,369,266,140,,3.0,(X),(X),(X),(X),,(X),(X)
20,        Margin of Error,"1,464",,343,346,256,301,394,702,417,567,487,343,278,253,185,248,154,196,63,70,,413,211,677,375,"1,111","1,246","1,249","1,214",341,317,299,235,,1.2,(X),(X),(X),(X),,(X),(X)
21,        Margin of Error,"1,149",,65,70,60,543,814,348,199,111,148,76,74,100,99,53,83,62,21,33,,85,120,158,"1,062","1,151","1,132","1,103",770,157,134,113,67,,0.2,(X),(X),(X),(X),,(X),(X)
22,        Margin of Error,190,,14,14,14,95,141,19,18,14,14,14,14,14,14,14,14,14,14,14,,14,14,14,169,190,190,190,86,14,14,14,14,,0.8,(X),(X),(X),(X),,(X),(X)
23,        Margin of Error,246,,27,46,21,42,51,62,82,53,43,48,51,46,25,34,33,7,47,7,,49,31,68,58,162,238,229,221,71,63,61,49,,7.8,(X),(X),(X),(X),,(X),(X)
24,        Margin of Error,573,,196,92,161,148,171,190,155,172,135,140,119,99,95,95,32,53,55,58,,186,93,280,184,371,437,427,410,182,159,138,100,,2.0,(X),(X),(X),(X),,(X),(X)
25,        Margin of Error,340,,50,42,47,43,64,215,172,101,162,106,77,83,140,107,27,16,12,20,,69,11,70,72,306,335,334,328,171,137,115,30,,2.8,(X),(X),(X),(X),,(X),(X)
26,        Margin of Error,"1,402",,322,569,188,298,183,407,424,389,305,348,350,199,154,196,220,54,63,88,,590,156,740,252,849,"1,054","1,056","1,048",323,327,326,117,,1.8,(X),(X),(X),(X),,(X),(X)
