"Label (Grouping)","Total:","Total:!!Male:","Total:!!Male:!!Under 5 years","Total:!!Male:!!5 to 9 years","Total:!!Male:!!10 to 14 years","Total:!!Male:!!15 to 17 years","Total:!!Male:!!18 and 19 years","Total:!!Male:!!20 years","Total:!!Male:!!21 years","Total:!!Male:!!22 to 24 years","Total:!!Male:!!25 to 29 years","Total:!!Male:!!30 to 34 years","Total:!!Male:!!35 to 39 years","Total:!!Male:!!40 to 44 years","Total:!!Male:!!45 to 49 years","Total:!!Male:!!50 to 54 years","Total:!!Male:!!55 to 59 years","Total:!!Male:!!60 and 61 years","Total:!!Male:!!62 to 64 years","Total:!!Male:!!65 and 66 years","Total:!!Male:!!67 to 69 years","Total:!!Male:!!70 to 74 years","Total:!!Male:!!75 to 79 years","Total:!!Male:!!80 to 84 years","Total:!!Male:!!85 years and over","Total:!!Female:","Total:!!Female:!!Under 5 years","Total:!!Female:!!5 to 9 years","Total:!!Female:!!10 to 14 years","Total:!!Female:!!15 to 17 years","Total:!!Female:!!18 and 19 years","Total:!!Female:!!20 years","Total:!!Female:!!21 years","Total:!!Female:!!22 to 24 years","Total:!!Female:!!25 to 29 years","Total:!!Female:!!30 to 34 years","Total:!!Female:!!35 to 39 years","Total:!!Female:!!40 to 44 years","Total:!!Female:!!45 to 49 years","Total:!!Female:!!50 to 54 years","Total:!!Female:!!55 to 59 years","Total:!!Female:!!60 and 61 years","Total:!!Female:!!62 to 64 years","Total:!!Female:!!65 and 66 years","Total:!!Female:!!67 to 69 years","Total:!!Female:!!70 to 74 years","Total:!!Female:!!75 to 79 years","Total:!!Female:!!80 to 84 years","Total:!!Female:!!85 years and over"
"    Margin of Error","±4,829","±2,559","±704","±524","±1,271","±794","±316","±188","±156","±509","±775","±677","±799","±505","±918","±960","±566","±361","±290","±240","±270","±303","±228","±142","±70","±2,957","±578","±707","±1,326","±381","±501","±291","±231","±401","±970","±777","±695","±1,397","±668","±563","±629","±290","±321","±323","±323","±281","±282","±151","±250"
"ZCTA5 78663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","782","436","0","74","4","5","8","0","6","11","3","0","4","10","57","64","97","13","4","0","2","64","2","8","0","346","3","6","0","17","23","0","0","0","9","11","38","0","18","8","57","16","54","0","18","39","14","0","15"
"    Margin of Error","±277","±194","±14","±93","±7","±6","±15","±14","±13","±16","±5","±14","±7","±17","±71","±63","±74","±21","±5","±14","±3","±59","±3","±15","±14","±115","±5","±10","±14","±26","±33","±14","±14","±14","±15","±12","±54","±14","±18","±12","±51","±15","±53","±14","±25","±43","±20","±14","±23"
"ZCTA5 78664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","63,661","31,255","1,482","1,522","2,199","1,699","1,334","484","480","1,585","3,429","2,226","3,040","2,326","1,879","2,113","1,797","621","742","266","505","653","491","275","107","32,406","2,014","2,362","2,023","1,831","468","468","233","1,190","2,285","2,976","2,164","3,000","2,640","2,406","1,887","600","1,109","473","705","665","316","122","469"
"    Margin of Error","±2,226","±1,505","±374","±389","±371","±399","±304","±313","±185","±388","±630","±526","±751","±419","±363","±422","±439","±192","±318","±126","±167","±257","±209","±186","±79","±1,506","±338","±432","±428","±353","±205","±245","±145","±322","±471","±505","±431","±604","±495","±411","±551","±395","±421","±202","±203","±205","±207","±55","±206"
"ZCTA5 78669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","14,038","6,612","220","406","396","214","172","2","0","87","137","410","525","512","543","637","622","103","325","216","355","416","170","104","40","7,426","929","396","530","235","29","3","35","118","261","510","465","474","347","699","523","336","412","170","341","290","182","78","63"
"    Margin of Error","±1,161","±634","±123","±168","±182","±109","±110","±3","±22","±65","±120","±170","±164","±190","±182","±158","±243","±62","±132","±85","±125","±147","±102","±82","±44","±681","±315","±150","±239","±100","±33","±4","±39","±98","±156","±166","±149","±134","±114","±316","±187","±134","±143","±76","±135","±121","±109","±42","±45"
"ZCTA5 78701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","11,903","6,971","62","0","28","8","22","74","31","541","905","1,205","796","665","419","425","446","457","148","198","183","142","145","66","5","4,932","92","32","29","0","75","95","32","210","896","848","303","457","557","176","378","184","42","94","99","222","98","13","0"
"    Margin of Error","±1,428","±947","±91","±22","±36","±17","±26","±56","±36","±234","±352","±396","±371","±470","±211","±465","±240","±284","±104","±148","±106","±101","±84","±56","±7","±749","±104","±32","±26","±22","±93","±91","±45","±115","±328","±314","±213","±297","±441","±96","±230","±124","±39","±70","±81","±134","±54","±26","±22"
"ZCTA5 78702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","25,393","12,861","675","669","530","191","115","49","135","329","2,098","2,070","1,472","1,147","650","658","639","189","285","204","263","168","92","126","107","12,532","832","727","277","461","210","274","82","488","1,829","1,765","769","813","618","850","478","138","320","115","528","347","98","176","337"
"    Margin of Error","±1,893","±1,150","±265","±175","±259","±86","±120","±57","±80","±146","±394","±537","±244","±431","±169","±194","±277","±107","±124","±103","±123","±75","±81","±84","±65","±1,180","±305","±212","±137","±245","±176","±136","±52","±210","±370","±305","±179","±286","±198","±396","±176","±99","±200","±70","±280","±174","±76","±116","±131"
"ZCTA5 78703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,297","10,516","524","353","785","204","259","1","0","298","1,210","1,131","745","1,019","731","369","711","147","626","184","388","445","198","125","63","9,781","627","523","357","271","70","13","20","217","859","1,101","790","903","841","501","814","292","390","114","291","420","175","110","82"
"    Margin of Error","±1,607","±886","±127","±120","±173","±82","±205","±4","±26","±159","±367","±281","±183","±435","±180","±109","±226","±91","±289","±97","±150","±156","±90","±87","±46","±926","±189","±138","±137","±193","±56","±14","±22","±115","±216","±397","±174","±220","±287","±148","±308","±102","±153","±58","±140","±150","±68","±80","±65"
"ZCTA5 78704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","51,422","26,367","1,354","854","840","601","686","276","131","1,265","5,133","3,453","2,431","2,138","1,850","1,281","1,175","278","458","352","605","493","484","124","105","25,055","986","797","606","370","718","365","302","2,142","4,026","3,036","2,991","1,621","1,477","1,217","1,344","436","463","353","617","407","334","175","272"
"    Margin of Error","±2,514","±1,464","±343","±346","±256","±211","±215","±163","±78","±368","±702","±417","±567","±487","±343","±278","±253","±117","±129","±158","±174","±154","±196","±63","±70","±1,622","±312","±364","±208","±183","±237","±148","±187","±609","±595","±385","±588","±358","±348","±317","±360","±214","±155","±119","±155","±148","±110","±85","±99"
"ZCTA5 78705","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","33,262","15,768","81","130","80","82","4,356","2,635","2,453","2,223","1,605","686","297","216","149","121","194","87","72","11","63","108","79","17","23","17,494","88","45","72","197","6,067","2,673","2,624","2,192","1,505","738","409","256","108","128","95","56","50","32","23","41","59","9","27"
"    Margin of Error","±1,906","±1,149","±65","±70","±60","±120","±536","±459","±465","±468","±348","±199","±111","±148","±76","±74","±100","±69","±66","±19","±51","±83","±62","±21","±33","±1,375","±79","±40","±46","±80","±728","±404","±477","±381","±434","±268","±193","±152","±54","±121","±45","±49","±48","±33","±27","±45","±50","±13","±36"
"ZCTA5 78712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","887","368","0","0","0","0","169","86","49","46","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","519","0","0","0","19","336","109","37","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Margin of Error","±331","±190","±14","±14","±14","±14","±95","±92","±28","±58","±19","±18","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±268","±14","±14","±14","±26","±162","±114","±48","±19","±18","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14"
"ZCTA5 78719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,803","963","27","56","13","33","18","6","40","21","130","97","69","54","73","44","87","31","11","19","57","40","3","30","4","840","67","61","72","45","33","0","0","18","71","41","9","72","44","49","108","10","29","3","40","25","0","16","27"
"    Margin of Error","±409","±246","±27","±46","±21","±31","±19","±11","±49","±18","±62","±82","±53","±43","±48","±51","±46","±22","±11","±31","±28","±33","±7","±47","±7","±208","±112","±55","±47","±34","±34","±14","±14","±24","±41","±32","±14","±39","±44","±65","±53","±16","±19","±11","±43","±21","±14","±20","±26"
"ZCTA5 78721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","11,054","5,616","333","148","406","185","173","58","157","274","617","629","529","541","442","313","210","121","95","43","96","30","96","54","66","5,438","189","289","249","215","79","43","101","141","529","675","510","605","260","304","346","123","28","24","140","150","225","88","125"
"    Margin of Error","±961","±573","±196","±92","±161","±93","±108","±54","±81","±151","±190","±155","±172","±135","±140","±119","±99","±78","±63","±58","±76","±32","±53","±55","±58","±586","±88","±184","±141","±108","±56","±43","±57","±79","±180","±229","±155","±192","±121","±119","±124","±87","±30","±26","±82","±84","±93","±62","±70"
"ZCTA5 78722","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,713","3,250","104","120","80","9","58","11","15","94","512","451","305","331","276","126","161","135","139","53","178","49","10","5","28","3,463","235","157","56","9","11","30","56","112","689","407","311","285","212","59","179","117","118","48","83","78","70","49","92"
"    Margin of Error","±589","±340","±50","±42","±47","±11","±41","±14","±23","±61","±215","±172","±101","±162","±106","±77","±83","±129","±78","±39","±98","±27","±16","±12","±20","±417","±106","±68","±43","±11","±14","±28","±48","±67","±182","±109","±115","±108","±80","±42","±85","±106","±80","±34","±57","±42","±53","±46","±54"
"ZCTA5 78723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","37,552","19,263","1,376","1,658","800","390","469","128","96","540","2,162","2,245","2,101","1,673","1,372","1,137","998","410","289","262","296","476","131","94","160","18,289","1,581","1,125","909","515","142","82","56","561","2,008","1,722","2,331","1,225","994","752","968","414","439","303","447","819","341","238","317"
"    Margin of Error","±2,022","±1,402","±322","±569","±188","±156","±193","±71","±64","±164","±407","±424","±389","±305","±348","±350","±199","±133","±90","±139","±137","±220","±54","±63","±88","±996","±300","±271","±206","±236","±100","±66","±47","±201","±436","±249","±385","±268","±250","±242","±211","±137","±176","±133","±262","±308","±132","±97","±123"
"ZCTA5 78724","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","25,328","13,441","1,624","1,452","1,239","938","329","182","75","706","850","1,388","1,103","939","708","726","369","70","216","112","225","95","58","34","3","11,887","1,096","847","1,368","484","265","338","264","423","873","1,046","1,229","1,016","623","583","508","73","167","69","225","109","176","54","51"
"    Margin of Error","±2,304","±1,560","±686","±498","±318","±224","±150","±101","±52","±188","±262","±385","±384","±259","±240","±360","±154","±54","±180","±77","±101","±83","±51","±34","±7","±1,082","±304","±316","±324","±269","±108","±202","±148","±149","±306","±276","±325","±394","±226","±255","±167","±57","±104","±58","±140","±94","±137","±58","±39"
"ZCTA5 78725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","8,303","3,971","241","284","210","172","116","17","24","0","330","441","691","300","81","346","279","71","114","22","62","103","67","0","0","4,332","271","195","341","143","0","0","62","76","217","391","477","426","112","179","189","138","482","277","59","119","87","75","16"
"    Margin of Error","±952","±527","±120","±169","±123","±114","±109","±31","±38","±20","±180","±189","±287","±131","±60","±185","±162","±80","±92","±36","±46","±79","±66","±20","±20","±765","±215","±149","±184","±116","±20","±20","±73","±61","±134","±191","±186","±212","±98","±114","±121","±126","±374","±311","±41","±88","±82","±60","±26"
"ZCTA5 78726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","13,304","7,020","531","447","405","222","207","95","76","305","1,071","690","188","485","674","658","380","98","112","12","41","209","77","37","0","6,284","197","401","540","489","150","9","77","164","826","289","395","643","384","560","258","43","249","25","165","158","45","166","51"
"    Margin of Error","±1,474","±1,000","±477","±203","±190","±186","±128","±80","±86","±169","±370","±368","±146","±227","±317","±300","±238","±97","±104","±22","±62","±141","±92","±41","±22","±773","±168","±254","±275","±236","±137","±18","±103","±134","±501","±217","±282","±253","±197","±246","±144","±69","±267","±40","±150","±101","±66","±234","±82"
"ZCTA5 78727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","31,856","16,524","1,194","942","595","390","195","52","132","592","2,328","2,211","1,337","1,300","913","1,246","798","408","583","233","322","318","189","109","137","15,332","1,111","836","400","232","158","64","36","353","2,083","1,548","1,456","1,267","1,078","839","1,243","474","554","315","295","408","190","178","214"
"    Margin of Error","±1,925","±1,216","±349","±361","±147","±159","±107","±48","±80","±171","±494","±408","±292","±264","±220","±315","±187","±219","±170","±150","±110","±101","±104","±77","±89","±1,079","±299","±193","±153","±123","±95","±56","±45","±216","±411","±305","±245","±498","±266","±240","±262","±334","±174","±165","±121","±154","±86","±100","±88"
"ZCTA5 78728","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","21,857","10,870","978","528","459","288","138","70","48","340","1,609","1,053","1,621","910","824","613","478","179","195","60","143","164","77","46","49","10,987","772","609","684","323","150","185","83","356","1,111","1,148","1,281","984","646","828","411","227","238","268","76","281","85","64","177"
"    Margin of Error","±2,116","±910","±231","±196","±211","±149","±78","±66","±50","±141","±409","±277","±457","±286","±326","±233","±159","±123","±87","±42","±52","±87","±71","±46","±39","±1,506","±285","±219","±378","±321","±126","±256","±84","±144","±351","±351","±312","±651","±290","±294","±144","±114","±103","±183","±54","±155","±69","±39","±69"
"ZCTA5 78729","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","27,707","14,953","1,010","774","506","358","431","86","86","670","2,292","1,843","1,680","959","1,235","936","758","131","184","256","220","181","171","176","10","12,754","894","550","602","301","348","40","144","487","964","1,305","1,100","1,198","1,215","800","799","324","255","175","251","461","81","203","257"
"    Margin of Error","±1,691","±1,169","±320","±224","±167","±137","±326","±68","±94","±256","±542","±417","±396","±297","±248","±260","±291","±75","±78","±102","±115","±84","±79","±173","±16","±944","±249","±315","±187","±155","±177","±46","±103","±185","±319","±334","±347","±395","±291","±278","±269","±129","±108","±84","±121","±195","±51","±100","±168"
"ZCTA5 78730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","10,527","5,553","187","515","483","107","86","58","0","0","198","390","416","467","850","343","347","119","163","328","234","119","92","51","0","4,974","406","249","397","244","64","13","0","79","263","474","300","328","529","423","292","96","160","157","96","308","47","33","16"
"    Margin of Error","±1,430","±763","±110","±244","±225","±66","±60","±68","±22","±22","±108","±215","±254","±196","±343","±174","±133","±95","±117","±183","±132","±81","±79","±64","±22","±902","±509","±113","±211","±119","±61","±21","±22","±71","±142","±277","±146","±139","±233","±200","±121","±70","±97","±91","±93","±154","±59","±39","±25"
"ZCTA5 78731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","27,664","13,976","690","763","798","273","168","0","146","666","1,968","1,357","791","870","874","612","757","407","658","257","423","491","285","211","511","13,688","617","805","478","446","99","49","78","641","1,032","1,140","881","903","822","729","1,097","571","577","286","292","645","383","208","909"
"    Margin of Error","±1,629","±1,043","±154","±254","±180","±84","±90","±26","±118","±240","±602","±397","±317","±197","±328","±167","±178","±163","±157","±210","±140","±107","±94","±81","±259","±916","±151","±200","±126","±116","±55","±37","±72","±350","±281","±234","±250","±190","±190","±191","±198","±285","±262","±99","±69","±143","±173","±82","±327"
"ZCTA5 78732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
